SF|LF|MetaMap CUI|CSI|Ratio in CSI|UMLS CUI|UMLS SOURCE|ADAM|Ratio in ADAM|Dictionary
5-FU|2,4(1H,3H)-Pyrimidinedione, 5-fluoro-||||C0016360|MSH;NDFRT|||
5-FU|2,4-Dioxo-5-fluoropyrimidine||||C0016360|NCI;PDQ|||
5-FU|5 Fluorouracil|C0016360|||C0016360|MSH|||
5-FU|5 fluorouracil|C0016360|||C0016360|CHV|||
5-FU|5 fu|C0016360|||C0016360|CHV|||
5-FU|5-FU|C0016360|||C0016360|MSH;NCI;NDFRT;PDQ;SNOMEDCT|||
5-FU|5-Fluoro-2,4(1H, 3H)-pyrimidinedione||||C0016360|NCI|||
5-FU|5-Fluoro-2,4(1H,3H)-pyrimidinedione||||C0016360|NCI;PDQ|||
5-FU|5-Fluorouracil|C0016360|||C0016360|MSH;NCI;NDFRT;SNOMEDCT|||
5-FU|5-Fluracil|C0016360|||C0016360|NCI;PDQ|||
5-FU|5-Fu|C0016360|||C0016360|NCI|||
5-FU|5-flourouracil||||||1|0.0018|
5-FU|5-fluoro-uracil||||||1|0.0024|
5-FU|5-fluorouracil|C0016360|1|1.000|C0016360|CHV;NCI;PDQ|1|0.9012|
5-FU|5-fu|C0016360|||C0016360|CHV|||
5-FU|5FU|C0016360|||C0016360|CSP;MSH;NDFRT;PDQ|||
5-FU|5FU - Fluorouracil|C0016360|||C0016360|SNOMEDCT|||
5-FU|5Fluracil|C0016360|||C0016360|PDQ|||
5-FU|5fluorouracil|C0016360|||C0016360|PDQ|||
5-FU|FLUOROURACIL|C0016360|||C0016360|MTHSPL;NCI;NDFRT;VANDF|||
5-FU|FU|C0016360;C1424823|||C0016360|PDQ|||
5-FU|Fluoro Uracil|C0016360|||C0016360|NCI;PDQ|||
5-FU|Fluorouracil|C0016360|||C0016360|LCH;LNC;MSH;MTH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT;USPMG|||
5-FU|Fluorouracil (product)||||C0016360|SNOMEDCT|||
5-FU|Fluorouracil (substance)||||C0016360|SNOMEDCT|||
5-FU|Fluorouracil [Chemical/Ingredient]||||C0016360|NDFRT|||
5-FU|Fluoruracil|C0016360|||C0016360|MSH;NDFRT|||
5-FU|Fluouracil|C0016360|||C0016360|NCI;PDQ|||
5-FU|chemotherapy|C0013216;C0013217;C0392920|||||1|0.0024|
5-FU|fluorouracil|C0016360|||C0016360|CHV;CSP;MTHSPL;NCI;PDQ|1|0.0923|
6-MP|1,7-Dihydro-6H-purine-6-thione||||C0000618|MSH;NCI;NDFRT;PDQ|||
6-MP|1,7-Dihydro-6H-purine-6-thione Monohydrate||||C0000618|NCI;PDQ|||
6-MP|3H-Purine-6-thiol|C0000618|||C0000618|NCI;PDQ|||
6-MP|6 MP|C0000618|||C0000618|NCI|||
6-MP|6 Mercaptopurine|C0000618|||C0000618|MSH|||
